run_id,seed,repeat_id,dataset_key,dataset_hf_id,hf_model_name,n_labels,f1_avg,dataset,eval_size,model,tool,test_id,n_eval,n_ok,fail_rate,changed_rate,avg_similarity,invariance_rate,acc,f1,acc_clean,f1_clean,drop_acc,drop_f1,time_sec,peak_rss_mb,attack_success_rate,notes
2026-01-09_18-58,45,4,sst2,glue/sst2,,2,binary,glue/sst2,400,sk_tfidf_lr,augly,augly_unicode,400,400,0.0,1.0,0.8372572024305243,0.82,0.735,0.7612612612612613,0.815,0.8246445497630331,0.07999999999999996,0.06338328850177188,0.11875,0.0,,peak_delta_mb; gen+sk_time; n_ok=400
2026-01-09_18-58,45,4,sst2,glue/sst2,distilbert-base-uncased-finetuned-sst-2-english,2,binary,glue/sst2,400,hf_distilbert,augly,augly_unicode,400,400,0.0,1.0,0.8372572024305243,0.835,0.83,0.8172043010752689,0.905,0.9090909090909091,0.07500000000000007,0.09188660801564019,0.623247,0.0,,peak_delta_mb; gen+hf_time; batch_size=32; max_length=256
2026-01-09_18-58,46,5,sst2,glue/sst2,,2,binary,glue/sst2,400,sk_tfidf_lr,augly,augly_unicode,400,400,0.0,1.0,0.8404041242018653,0.8475,0.7775,0.7855421686746988,0.81,0.8146341463414634,0.032500000000000084,0.029091977666764524,0.137949,0.0,,peak_delta_mb; gen+sk_time; n_ok=400
2026-01-09_18-58,46,5,sst2,glue/sst2,distilbert-base-uncased-finetuned-sst-2-english,2,binary,glue/sst2,400,hf_distilbert,augly,augly_unicode,400,400,0.0,1.0,0.8404041242018653,0.8375,0.8175,0.7955182072829131,0.905,0.905940594059406,0.08750000000000002,0.11042238677649285,0.659515,0.0,,peak_delta_mb; gen+hf_time; batch_size=32; max_length=256
2026-01-09_18-58,42,1,sst2,glue/sst2,,2,binary,glue/sst2,400,sk_tfidf_lr,augly,augly_insert_whitespace,400,400,0.0,1.0,0.35860089984966065,0.55,0.51,0.6754966887417219,0.81,0.8207547169811321,0.30000000000000004,0.14525802823941025,0.026848,0.0,,peak_delta_mb; gen+sk_time; n_ok=400
2026-01-09_18-58,42,1,sst2,glue/sst2,distilbert-base-uncased-finetuned-sst-2-english,2,binary,glue/sst2,400,hf_distilbert,augly,augly_insert_whitespace,400,400,0.0,1.0,0.35860089984966065,0.675,0.64,0.6727272727272727,0.915,0.9182692307692307,0.275,0.245541958041958,1.652922,0.055,,peak_delta_mb; gen+hf_time; batch_size=32; max_length=256
2026-01-09_18-58,43,2,sst2,glue/sst2,,2,binary,glue/sst2,400,sk_tfidf_lr,augly,augly_insert_whitespace,400,400,0.0,1.0,0.3799095229968487,0.55,0.4975,0.664440734557596,0.7925,0.801909307875895,0.295,0.13746857331829898,0.02488,0.0,,peak_delta_mb; gen+sk_time; n_ok=400
2026-01-09_18-58,43,2,sst2,glue/sst2,distilbert-base-uncased-finetuned-sst-2-english,2,binary,glue/sst2,400,hf_distilbert,augly,augly_insert_whitespace,400,400,0.0,1.0,0.3799095229968487,0.705,0.65,0.6902654867256637,0.89,0.8926829268292683,0.24,0.20241744010360463,1.747081,0.055,,peak_delta_mb; gen+hf_time; batch_size=32; max_length=256
2026-01-09_18-58,44,3,sst2,glue/sst2,,2,binary,glue/sst2,400,sk_tfidf_lr,augly,augly_insert_whitespace,400,400,0.0,1.0,0.3591157556220903,0.5425,0.4975,0.664440734557596,0.79,0.7980769230769231,0.29250000000000004,0.13363618851932713,0.013571,0.0,,peak_delta_mb; gen+sk_time; n_ok=400
2026-01-09_18-58,44,3,sst2,glue/sst2,distilbert-base-uncased-finetuned-sst-2-english,2,binary,glue/sst2,400,hf_distilbert,augly,augly_insert_whitespace,400,400,0.0,1.0,0.3591157556220903,0.6825,0.6525,0.6713947990543735,0.91,0.9104477611940298,0.25750000000000006,0.23905296213965632,1.644598,0.0,,peak_delta_mb; gen+hf_time; batch_size=32; max_length=256
2026-01-09_18-58,45,4,sst2,glue/sst2,,2,binary,glue/sst2,400,sk_tfidf_lr,augly,augly_insert_whitespace,400,400,0.0,1.0,0.3733530593056667,0.5475,0.5075,0.6733001658374793,0.815,0.8246445497630331,0.3075,0.15134438392555383,0.015049,0.0,,peak_delta_mb; gen+sk_time; n_ok=400
2026-01-09_18-58,45,4,sst2,glue/sst2,distilbert-base-uncased-finetuned-sst-2-english,2,binary,glue/sst2,400,hf_distilbert,augly,augly_insert_whitespace,400,400,0.0,1.0,0.3733530593056667,0.7,0.665,0.7035398230088495,0.905,0.9090909090909091,0.24,0.20555108608205952,1.647533,0.0,,peak_delta_mb; gen+hf_time; batch_size=32; max_length=256
2026-01-09_18-58,46,5,sst2,glue/sst2,,2,binary,glue/sst2,400,sk_tfidf_lr,augly,augly_insert_whitespace,400,400,0.0,1.0,0.38116501213737686,0.535,0.49,0.6577181208053692,0.81,0.8146341463414634,0.32000000000000006,0.15691602553609418,0.013555,0.0,,peak_delta_mb; gen+sk_time; n_ok=400
2026-01-09_18-58,46,5,sst2,glue/sst2,distilbert-base-uncased-finetuned-sst-2-english,2,binary,glue/sst2,400,hf_distilbert,augly,augly_insert_whitespace,400,400,0.0,1.0,0.38116501213737686,0.7125,0.6725,0.6974595842956121,0.905,0.905940594059406,0.23250000000000004,0.2084810097637939,1.626903,0.0,,peak_delta_mb; gen+hf_time; batch_size=32; max_length=256
2026-01-09_18-58,42,1,sst2,glue/sst2,,2,binary,glue/sst2,400,sk_tfidf_lr,checklist,checklist_typos,400,400,0.0,0.985,0.9870467010306635,0.9475,0.8125,0.8243559718969555,0.81,0.8207547169811321,-0.0024999999999999467,-0.0036012549158234153,0.018969,0.0,,peak_delta_mb; gen+sk_time; n_ok=400
2026-01-09_18-58,42,1,sst2,glue/sst2,distilbert-base-uncased-finetuned-sst-2-english,2,binary,glue/sst2,400,hf_distilbert,checklist,checklist_typos,400,400,0.0,0.985,0.9870467010306635,0.945,0.895,0.8970588235294118,0.915,0.9182692307692307,0.020000000000000018,0.02121040723981893,0.502832,0.0,,peak_delta_mb; gen+hf_time; batch_size=32; max_length=256
2026-01-09_18-58,43,2,sst2,glue/sst2,,2,binary,glue/sst2,400,sk_tfidf_lr,checklist,checklist_typos,400,400,0.0,0.99,0.9873874632320782,0.94,0.7675,0.774818401937046,0.7925,0.801909307875895,0.025000000000000022,0.027090905938848997,0.022967,0.0,,peak_delta_mb; gen+sk_time; n_ok=400
2026-01-09_18-58,43,2,sst2,glue/sst2,distilbert-base-uncased-finetuned-sst-2-english,2,binary,glue/sst2,400,hf_distilbert,checklist,checklist_typos,400,400,0.0,0.99,0.9873874632320782,0.9375,0.8675,0.8651399491094147,0.89,0.8926829268292683,0.022499999999999964,0.02754297771985359,0.511187,0.0,,peak_delta_mb; gen+hf_time; batch_size=32; max_length=256
